# DCS_Hosts.txt downloaded from http://www.pistar.uk/downloads/DCS_Hosts.txt
# DCS Hosts resolved from xreflector.net DNS, with additional hosts
# sourced from http://xlxapi.rlx.lu/api.php?do=GetReflectorHostname
# Please report issues at https://www.facebook.com/groups/pistarusergroup/
# File updated on Friday 9th of December 2022
DCS000	45.62.230.56
XLX523	42.191.226.230
XLX530	119.224.19.178
XLX531	149.28.170.145
XLX533	139.224.207.157
XLX534	210.14.26.149
XLX535	203.159.93.71
XLX538	180.235.55.253
XLX543	161.97.112.218
XLX545	3.215.215.169
XLX546	137.184.40.84
XLX547	45.32.136.100
XLX550	178.62.80.22
XLX553	45.79.92.86
XLX555	77.10.20.1
XLX558	141.95.67.138
XLX559	5.185.12.29
XLX560	150.66.42.72
XLX561	128.22.133.152
XLX567	157.245.59.253
XLX568	175.163.80.237
XLX570	44.56.160.2
XLX571	186.29.69.77
XLX575	207.251.56.142
XLX576	198.58.110.40
XLX577	45.33.63.28
XLX580	153.194.16.139
XLX583	211.132.52.116
XLX585	213.212.133.250
XLX586	213.254.10.35
XLX587	104.8.207.66
XLX588	72.175.186.98
XLX590	163.58.70.135
XLX599	150.66.25.83
XLX600	161.97.181.4
XLX601	216.128.147.17
XLX602	212.56.100.200
XLX603	91.238.117.123
XLX604	139.162.241.24
XLX605	82.146.32.23
XLX606	62.3.64.165
XLX607	143.110.231.93
XLX608	219.122.253.83
XLX610	213.21.184.66
XLX612	185.231.245.31
XLX613	198.50.202.39
XLX616	103.156.68.246
XLX619	167.99.168.82
XLX620	61.195.108.241
XLX621	50.37.122.190
XLX622	209.182.218.92
XLX625	68.55.78.195
XLX626	158.101.149.128
XLX630	61.195.125.81
XLX632	64.91.238.36
XLX633	75.135.199.237
XLX634	150.66.9.57
XLX636	77.38.191.5
XLX645	34.196.134.215
XLX650	221.170.195.35
XLX651	104.143.94.48
XLX655	146.64.235.19
XLX659	104.131.106.247
XLX660	150.31.129.168
XLX661	210.203.214.9
XLX662	72.17.20.173
XLX666	95.179.179.175
XLX671	75.119.135.247
XLX672	213.171.214.2
XLX673	180.147.243.178
XLX678	132.145.76.107
XLX679	45.79.180.62
XLX680	153.185.80.26
XLX683	198.46.160.211
XLX684	80.211.167.192
XLX687	47.186.91.168
XLX688	54.89.57.238
XLX689	97.107.128.47
XLX691	58.82.172.177
XLX698	203.137.123.89
XLX699	82.102.5.239
XLX700	83.85.167.55
XLX701	61.195.107.77
XLX704	150.66.34.110
XLX705	128.22.134.161
XLX706	93.186.255.126
XLX707	90.145.156.242
XLX708	150.66.20.222
XLX710	209.126.0.55
XLX713	218.251.63.99
XLX714	81.169.158.155
XLX715	92.187.244.245
XLX716	190.117.85.67
XLX717	88.159.31.251
XLX718	45.77.142.226
XLX720	74.91.118.134
XLX721	184.56.164.214
XLX722	155.138.200.207
XLX723	62.38.192.143
XLX724	189.56.29.14
XLX727	143.198.216.15
XLX729	136.243.236.116
XLX730	186.64.123.59
XLX733	3.130.19.193
XLX737	83.212.170.243
XLX738	153.127.23.8
XLX741	203.137.78.41
XLX745	122.249.179.68
XLX747	78.47.190.213
XLX748	68.119.129.171
XLX749	45.76.252.9
XLX750	203.86.206.49
XLX751	67.219.106.141
XLX752	62.171.154.188
XLX753	202.218.157.116
XLX755	89.234.155.6
XLX757	107.191.121.105
XLX760	47.39.85.94
XLX762	129.21.36.65
XLX763	20.245.98.187
XLX765	153.126.212.136
XLX767	114.157.128.80
XLX768	80.211.15.21
XLX770	153.126.173.9
XLX771	220.123.96.162
XLX772	146.56.185.110
XLX773	89.46.75.166
XLX774	44.31.14.30
XLX775	89.40.143.196
XLX776	118.27.28.16
XLX777	194.182.80.219
XLX778	77.237.7.125
XLX781	101.143.242.199
XLX782	74.221.69.75
XLX787	46.41.1.96
XLX789	45.33.119.142
XLX794	150.66.33.93
XLX797	150.66.44.81
XLX799	37.143.206.229
XLX800	87.252.188.119
XLX801	80.108.239.88
XLX802	188.22.111.110
XLX803	77.116.185.200
XLX806	188.63.22.20
XLX807	116.91.197.3
XLX808	18.220.252.27
XLX810	71.41.121.228
XLX812	203.145.233.141
XLX813	139.186.161.29
XLX815	23.237.17.85
XLX816	35.199.38.36
XLX817	35.245.186.199
XLX818	188.166.226.76
XLX819	69.51.231.196
XLX822	103.76.180.131
XLX823	185.78.167.150
XLX824	47.206.37.226
XLX826	47.206.37.227
XLX827	207.148.3.18
XLX828	195.225.116.244
XLX830	104.238.146.84
XLX835	45.32.82.218
XLX838	185.166.212.132
XLX841	119.199.235.196
XLX842	66.175.219.129
XLX844	137.226.79.122
XLX850	116.203.56.12
XLX852	1.36.248.207
XLX854	210.236.124.113
XLX855	87.154.19.232
XLX858	185.170.215.146
XLX860	24.134.86.93
XLX861	172.105.26.148
XLX862	93.56.202.205
XLX866	84.155.83.2
XLX870	81.24.10.147
XLX878	203.137.123.113
XLX880	213.171.208.97
XLX881	137.220.96.242
XLX886	118.163.103.178
XLX887	118.163.103.177
XLX888	85.214.239.189
XLX889	18.188.148.180
XLX891	209.251.60.131
XLX893	153.143.163.96
XLX894	150.66.19.140
XLX899	77.68.30.160
XLX901	91.126.242.39
XLX902	104.6.229.93
XLX903	80.211.29.226
XLX904	150.66.5.57
XLX905	94.199.173.123
XLX907	81.34.187.92
XLX909	216.86.147.198
XLX910	138.128.240.100
XLX911	128.199.239.91
XLX912	80.211.1.143
XLX913	68.169.168.101
XLX914	92.57.47.187
XLX919	128.199.235.93
XLX920	18.217.73.9
XLX922	81.150.10.62
XLX924	142.93.44.244
XLX930	80.211.133.104
XLX933	152.228.170.6
XLX934	79.62.11.22
XLX936	152.67.100.199
XLX937	81.25.49.85
XLX938	46.32.62.49
XLX939	185.101.96.39
XLX940	202.218.37.121
XLX944	202.218.34.210
XLX945	213.202.229.40
XLX948	46.101.36.246
XLX949	149.248.3.1
XLX950	158.64.26.134
XLX951	18.188.166.109
XLX954	188.192.134.65
XLX956	217.145.102.74
XLX958	87.9.102.201
XLX959	203.137.98.121
XLX960	104.153.109.233
XLX963	108.61.205.139
XLX964	52.173.142.244
XLX965	80.211.190.216
XLX969	45.72.190.123
XLX972	109.226.48.53
XLX974	94.177.217.52
XLX976	80.12.83.150
XLX977	159.242.127.220
XLX978	3.96.107.200
XLX979	64.253.75.30
XLX980	68.183.63.188
XLX981	44.198.63.189
XLX982	68.36.33.45
XLX983	45.76.228.241
XLX985	137.74.170.168
XLX986	202.61.251.72
XLX987	158.140.45.77
XLX988	211.14.169.43
XLX989	50.25.201.67
XLX990	116.80.84.230
XLX991	93.70.217.152
XLX992	116.203.122.135
XLX994	95.179.231.28
XLX997	94.177.187.40
XLX998	75.60.111.137
XLX999	94.177.173.53
XLXA51	159.65.190.18
XLXARG	45.62.246.55
XLXCFR	45.62.229.77
XLXCZE	46.28.109.166
XLXDS6	142.47.109.166
XLXDVM	212.237.34.32
XLXFEI	88.105.46.59
XLXGUS	45.62.249.150
XLXHBN	139.144.30.222
XLXHKG	42.98.121.155
XLXHP3	198.211.29.4
XLXILS	216.176.97.46
XLXITA	46.226.178.85
XLXJAR	45.33.85.235
XLXJPN	152.117.141.6
XLXLEF	77.68.25.66
XLXNLD	90.145.156.214
XLXNRW	178.202.110.145
XLXOKL	72.206.35.5
XLXOSK	121.93.123.128
XLXPTA	206.189.17.7
XLXRC1	91.192.92.181
XLXRUS	45.147.178.46
XLXSAT	149.28.241.139
XLXSIN	66.42.125.122
XLXTHA	203.150.19.24
XLXTRK	130.61.84.77
XLXTUR	212.64.217.144
XLXTYO	43.233.8.33
XLXUDN	183.176.193.120
XLXUFO	45.92.44.45
XLXUMB	87.20.53.10
XLXUS1	34.75.201.117
XLXUS2	34.68.104.251
XLXUS3	34.125.157.223
XLXUS4	34.94.168.67
XLXUS5	35.235.109.69
XLXUSA	35.232.145.123
XLXVPS	44.31.5.10
XLXWDG	149.28.200.232
XLXWIT	85.214.232.205
XLXWLF	217.160.144.235
XLXWVV	104.238.170.124
XLXYYP	115.30.131.132
XLXZTA	75.74.122.203
XLXZZZ	45.62.230.27
